,,,,JS-native,JS-native,JS-nonnative,JS-nonnative,acc-native,acc-native,acc-nonnative,acc-nonnative
,,,,mean,sem,mean,sem,mean,sem,mean,sem
lang,domain,arch,rep,,,,,,,,
EN,nat,knn,formant,0.5979999358119973,0.01679133227776711,0.5690270770369291,0.007094265734805776,0.08218137254901961,0.025902147405729072,0.11848225214198287,0.006573180701149351
EN,nat,knn,mfcc,0.4651249555188609,0.026353627002764418,0.47590152521661677,0.0023237841387099716,0.24909313725490195,0.0334425085194473,0.20611995104039166,0.005459234168479063
EN,nat,knn,w2v2-large,0.5335570291674397,0.019604523258090183,0.5018977669225515,0.004641781235236242,0.17431372549019608,0.02742080799803132,0.16474908200734392,0.0057705221405914804
EN,nat,max,formant,0.3168489450352131,0.010265706101250683,0.37251817048087776,0.002298990576245684,0.41816176470588234,0.061004901960784313,0.2383108935128519,0.009677438327832674
EN,nat,max,mfcc,0.2718425802024623,0.02695742207818693,0.3843726126907897,0.015713355019983923,0.5150980392156863,0.051507860765326624,0.2645042839657282,0.016291744431092305
EN,nat,max,w2v2-large,0.2033917526855332,0.009140909149327858,0.2721758342684027,0.007018767262631901,0.5938725490196078,0.024728193707059178,0.418359853121175,0.011890567726620019
EN,nat,max,w2v2ml-large-10,0.26616202753675344,0.02107532921910118,0.30005800121660686,0.011974259480025343,0.49377450980392157,0.04187794377479107,0.36621787025703795,0.014976092497447458
EN,nat,max,w2v2ml-large-100,0.2320469442450222,0.01710554607126914,0.29093485661067325,0.008998174299424542,0.5696078431372549,0.04970779185720006,0.38310893512851896,0.01471392586607374
EN,nat,mean,formant,0.34519133156229265,0.009338862939730073,0.37565453411975513,0.0018083096044207078,0.3006127450980392,0.02489153308894681,0.2318237454100367,0.003663801602716221
EN,nat,mean,mfcc,0.26364562157761406,0.01650471756093508,0.4016824038552474,0.004626999894591666,0.48470588235294115,0.05589297284710344,0.25495716034271726,0.004851731403296325
EN,nat,mean,w2v2-large,0.2223103950458043,0.016589891365399147,0.32641398883892164,0.005947606950462137,0.557843137254902,0.044943478037655644,0.36217870257037943,0.009738139393754293
EN,nat,mean,w2v2ml-large-10,0.2748045530577878,0.016591075728731818,0.33485446541978936,0.006508861655353359,0.44909313725490196,0.03858195819392353,0.34981640146878823,0.00620047661901685
EN,nat,mean,w2v2ml-large-100,0.22833764908302717,0.01638704790968117,0.3187994169774041,0.005995869500801051,0.5253921568627451,0.032844929714037005,0.36829865361077113,0.005044826434476324
EN,non-nat,knn,formant,0.6048015518530281,0.0014642897952604188,0.5733669076549693,0.008350139044735187,0.089375,0.0013339842161318447,0.1284585496457374,0.00887733409241126
EN,non-nat,knn,mfcc,0.45907542923104094,0.003050275705103748,0.4212020678320544,0.0074648756857340565,0.271875,0.005038911092686595,0.28644387849500985,0.012321033809734962
EN,non-nat,knn,w2v2-large,0.5399287142632017,0.0062279881930197975,0.5001815294376175,0.005697358255248141,0.17875000000000002,0.006263873490988713,0.21405531792935065,0.013520065391403041
EN,non-nat,max,formant,0.3566851994840434,0.005391391081141109,0.3029804160719614,0.004062759419401202,0.34750000000000003,0.014258282193557226,0.35504021506078515,0.0110480435973619
EN,non-nat,max,mfcc,0.2935385245703403,0.002869862153346145,0.22104080869677695,0.005035030908486443,0.46749999999999997,0.009807168579949848,0.4920368012247726,0.014418261928510721
EN,non-nat,max,w2v2-large,0.23866296269887016,0.00723142176077665,0.1965439164580418,0.005820523154421725,0.5743750000000001,0.019948936549210945,0.5166679364250135,0.02084410819470522
EN,non-nat,max,w2v2ml-large-10,0.21930355319508088,0.005324013229462203,0.17603992357822046,0.0031688668022811562,0.615,0.02195323312053248,0.6009376258421218,0.01531195496492165
EN,non-nat,max,w2v2ml-large-100,0.19981511488853365,0.0020588374541734176,0.17008699353280068,0.0030609307810125787,0.6381249999999999,0.007708333333333328,0.584978214574649,0.011597627986136946
EN,non-nat,mean,formant,0.40186678660155745,0.0012120478220549403,0.32733788476369646,0.003343920274564045,0.23374999999999999,0.0064684061234416765,0.27420213827305606,0.005924482088054412
EN,non-nat,mean,mfcc,0.33375157220405693,0.0033810388489556747,0.24028150489454037,0.00440648200716151,0.37,0.00911919526176637,0.454065222044456,0.01383210050986627
EN,non-nat,mean,w2v2-large,0.21378820994567724,0.005678171400525058,0.17288843466384626,0.005249730345114454,0.5825,0.015640270315936223,0.5604223579049712,0.01743419383724383
EN,non-nat,mean,w2v2ml-large-10,0.22707900922680174,0.0046764386252151095,0.18100876026744217,0.00389999733542445,0.56375,0.014000248013676206,0.5763512949721197,0.01323435117638346
EN,non-nat,mean,w2v2ml-large-100,0.2073912060879152,0.004626378338789775,0.17125462236213376,0.005374507917333369,0.6075,0.012835768167291137,0.5788351236926024,0.013987415229816062
FR,nat,knn,formant,0.6293820821074891,0.008454253817143428,0.6151465844171117,0.006489292353813931,0.06793769667911545,0.012663854787624102,0.10376623376623377,0.01025974025974026
FR,nat,knn,mfcc,0.4772333977102388,0.01889949639731135,0.5020125147022156,0.00409645300219945,0.2397953051271129,0.03971760563528882,0.21519480519480522,0.005191376935155259
FR,nat,knn,w2v2fr-large,0.29040564697964133,0.012938329048710367,0.3554657610655873,0.0029401636625672285,0.48155101191714467,0.028699421539085057,0.4254545454545454,0.004940378395735788
FR,nat,max,formant,0.39065652567738135,0.01072892032892062,0.4002858379685862,0.0022305404486403085,0.2513495035348582,0.024646322988977624,0.2357142857142857,0.007468630322711251
FR,nat,max,mfcc,0.28798968072395403,0.010984521025854848,0.3969590118489815,0.007251931458627479,0.4098278799766214,0.02486876318908775,0.28597402597402594,0.01090152970973254
FR,nat,max,w2v2fr-large,0.18648400544854152,0.011920888768003355,0.23936615295793007,0.007283144974168544,0.6144328872246493,0.04776214575174536,0.515974025974026,0.009881230941105063
FR,nat,max,w2v2ml-large-10,0.27103270460243334,0.020301644166939317,0.2902205984100887,0.015870520833961784,0.4612928401372337,0.03391311231775245,0.4442857142857143,0.024139740788262157
FR,nat,max,w2v2ml-large-100,0.2636568185477886,0.028649753422370795,0.28524210130405425,0.011530717617201244,0.48052354205672276,0.05029072487230262,0.44000000000000006,0.017694775408053084
FR,nat,mean,formant,0.4094928571351363,0.012041086333034672,0.41691803679567546,0.0014542778880029903,0.20410444754838347,0.02768762599485922,0.19480519480519481,0.0038428296140557826
FR,nat,mean,mfcc,0.3210640795573736,0.009834878465625032,0.43962707718772587,0.005054901833839361,0.39353715315957877,0.02198622659608665,0.2418181818181818,0.007146922626316513
FR,nat,mean,w2v2fr-large,0.17986347244769238,0.008687617890049905,0.24987535863528781,0.003247573777186222,0.6132639404836201,0.03252516389789221,0.4954545454545454,0.007949942715241099
FR,nat,mean,w2v2ml-large-10,0.2318719150986559,0.006729420933862865,0.29906359208541794,0.00435275733516579,0.5339862006795645,0.02829428654735549,0.4422077922077922,0.006079901257657207
FR,nat,mean,w2v2ml-large-100,0.23272592685406696,0.018286953848268752,0.3010006567055659,0.006701212954435383,0.5097237659365806,0.03179046314257919,0.4207792207792208,0.010617980756194554
FR,non-nat,knn,formant,0.5849698821461521,0.00047989893593400394,0.5576691244126973,0.011705918940495347,0.14492753623188406,0.0,0.19474867238025134,0.017424282486149703
FR,non-nat,knn,mfcc,0.5107087127446798,0.0025902152700322213,0.40742661004142466,0.009133000575724172,0.22028985507246376,0.005725084970895708,0.3688710412394623,0.022047397887208966
FR,non-nat,knn,w2v2fr-large,0.3053881855267447,0.0014530294464480797,0.22119165030664806,0.008459003355171376,0.48888888888888893,0.0034386725449376213,0.6258154126575179,0.02094322781171611
FR,non-nat,max,formant,0.3987008661797872,0.0030116929757916487,0.33242866446037506,0.0037653066082920386,0.2864734299516908,0.006641414050660641,0.4325104719841562,0.02448496361047969
FR,non-nat,max,mfcc,0.3252138426997369,0.003450083484964493,0.2143350061122208,0.005623441152690338,0.37246376811594206,0.007968981018781717,0.5494045428255954,0.015829163509644827
FR,non-nat,max,w2v2fr-large,0.22701575786881892,0.010513131064320216,0.13319373423064917,0.005261608196183175,0.5106280193236714,0.015192449462334667,0.6921687961161646,0.018609491724090634
FR,non-nat,max,w2v2ml-large-10,0.2829557766502516,0.009803800874398442,0.16357195885489292,0.005556020498535631,0.4444444444444445,0.015761268023500363,0.6245977706504022,0.017139540219026576
FR,non-nat,max,w2v2ml-large-100,0.2845486741323829,0.010605823785728125,0.1589470750304933,0.004946914646332919,0.44106280193236713,0.018176495684574155,0.6415676428834324,0.01382593972901604
FR,non-nat,mean,formant,0.42685266027824487,0.0010814829721614897,0.3548198851450633,0.00503678518865266,0.2,0.0038242647623310485,0.35725108225108226,0.013871855332505758
FR,non-nat,mean,mfcc,0.39802164167338183,0.00468731381106825,0.226182284925219,0.005807513835056972,0.2797101449275362,0.008534621578099836,0.5560667402772665,0.02295747436474687
FR,non-nat,mean,w2v2fr-large,0.2568811164237416,0.009306621423285678,0.14688570433189843,0.007993471458373097,0.47101449275362317,0.018602344756918895,0.6690427993059572,0.02580988165487232
FR,non-nat,mean,w2v2ml-large-10,0.2935290440706047,0.0034329281932189513,0.16915199958078486,0.007409587296312101,0.42946859903381646,0.0062966875349491575,0.626165939323834,0.02412648801081665
FR,non-nat,mean,w2v2ml-large-100,0.2905925023092946,0.004699964652434751,0.15817841379057818,0.007781936728182938,0.42850241545893725,0.006871687050998987,0.639053052210947,0.021164652393870522
